address_id,address,district,city_id,postal_code,phone,location,last_update
1,47 MySakila Drive,Alberta,300,,,POINT (-112.8185647 49.6999986),25-09-2014 22.30
2,28 MySQL Boulevard,QLD,576,,,POINT (153.1408538 -27.6333361),25-09-2014 22.30
3,23 Workhaven Lane,Alberta,300,,14033335568,POINT (-112.8185673 49.6999951),25-09-2014 22.30
4,1411 Lillydale Drive,QLD,576,,6172235589,POINT (153.1913094 -27.6333373),25-09-2014 22.30
5,1913 Hanoi Way,Nagasaki,463,35200,28303384290,POINT (129.7227851 33.1591726),25-09-2014 22.31
6,1121 Loja Avenue,California,449,17886,8.38635E+11,POINT (-117.2897714 34.1083428),25-09-2014 22.34
7,692 Joliet Street,Attika,38,83579,4.48477E+11,POINT (23.7162294 37.9794508),25-09-2014 22.31
8,1566 Inegl Manor,Mandalay,349,53561,7.05814E+11,POINT (95.3884368 21.4600272),25-09-2014 22.32
9,53 Idfu Parkway,Nantou,361,42399,10655648674,POINT (120.6638785 23.9156685),25-09-2014 22.33
10,1795 Santiago de Compostela Way,Texas,295,18743,8.60453E+11,POINT (-99.5075448 27.5064117),25-09-2014 22.33
11,900 Santiago de Compostela Parkway,Central Serbia,280,93896,7.16571E+11,POINT (0 0),25-09-2014 22.34
12,478 Joliet Way,Hamilton,200,77948,6.57282E+11,POINT (175.2833399 -37.7833313),25-09-2014 22.32
13,613 Korolev Drive,Masqat,329,45844,3.80658E+11,POINT (58.5922971 23.6138798),25-09-2014 22.32
14,1531 Sal Drive,Esfahan,162,53628,6.48857E+11,POINT (51.6746246 32.6524674),25-09-2014 22.31
15,1542 Tarlac Parkway,Kanagawa,440,1027,6.35297E+11,POINT (139.3589644 35.5557889),25-09-2014 22.31
16,808 Bhopal Manor,Haryana,582,10672,4.65888E+11,POINT (0 0),25-09-2014 22.31
17,270 Amroha Parkway,Osmaniye,384,29610,6.9548E+11,POINT (36.2477824 37.0741756),25-09-2014 22.33
18,770 Bydgoszcz Avenue,California,120,16266,5.17338E+11,POINT (-121.2810649 38.7071296),25-09-2014 22.33
19,419 Iligan Lane,Madhya Pradesh,76,72878,9.90911E+11,POINT (77.4028938 23.2546953),25-09-2014 22.31
20,360 Toulouse Parkway,England,495,54308,9.49312E+11,POINT (0.7143363 51.5378203),25-09-2014 22.33
21,270 Toulon Boulevard,Kalmykia,156,81766,4.07752E+11,POINT (44.2558374 46.3077803),25-09-2014 22.32
22,320 Brest Avenue,Kaduna,252,43331,7.47792E+11,POINT (7.4382858 10.5222412),25-09-2014 22.32
23,1417 Lancaster Avenue,Northern Cape,267,72192,2.72572E+11,POINT (24.7623254 -28.7322674),25-09-2014 22.33
24,1688 Okara Way,Nothwest Border Prov,327,21954,1.44454E+11,POINT (0 0),25-09-2014 22.32
25,262 A Corua (La Corua) Parkway,Dhaka,525,34418,8.92776E+11,POINT (89.9165584 24.2498482),25-09-2014 22.30
26,28 Charlotte Amalie Street,Rabat-Sal-Zammour-Z,443,37551,1.61968E+11,POINT (0 0),25-09-2014 22.32
27,1780 Hino Boulevard,Liepaja,303,7716,9.02731E+11,POINT (21.0166781 56.5166715),25-09-2014 22.31
28,96 Tafuna Way,Córdoba,128,99865,9.3473E+11,POINT (0 0),25-09-2014 22.30
29,934 San Felipe de Puerto Plata Street,Sind,472,99780,1.96496E+11,POINT (68.6378981 27.9570677),25-09-2014 22.32
30,18 Duisburg Boulevard,,121,58327,9.9801E+11,POINT (0 0),25-09-2014 22.31
31,217 Botshabelo Place,Southern Mindanao,138,49521,6.65357E+11,POINT (0 0),25-09-2014 22.32
32,1425 Shikarpur Manor,Bihar,346,65599,6.78221E+11,POINT (86.4735203 25.3755655),25-09-2014 22.31
33,786 Aurora Avenue,Yamaguchi,474,65750,18461860151,POINT (130.9570667 33.9587914),25-09-2014 22.31
34,1668 Anpolis Street,Taipei,316,50199,5.25256E+11,POINT (0 0),25-09-2014 22.33
35,33 Gorontalo Way,West Bengali,257,30348,7.45995E+11,POINT (88.3747238 22.6711153),25-09-2014 22.31
36,176 Mandaluyong Place,Uttar Pradesh,239,65213,6.27706E+11,POINT (78.5822145 25.4544634),25-09-2014 22.31
37,127 Purnea (Purnia) Manor,Piemonte,17,79388,9.11872E+11,POINT (8.6100757 44.9092442),25-09-2014 22.31
38,61 Tama Street,Okayama,284,94065,7.08403E+11,POINT (133.7666798 34.5833369),25-09-2014 22.31
39,391 Callao Drive,Midi-Pyrnes,544,34021,4.40512E+11,POINT (0 0),25-09-2014 22.31
40,334 Munger (Monghyr) Lane,Markazi,31,38145,4.81183E+11,POINT (49.6891697 34.0917421),25-09-2014 22.31
